sessionId,timestamp,itemId,category
1,2022-04-30T21:17:16Z,5,583
1,2022-04-30T21:17:16Z,5,583
1,2022-04-30T21:21:35Z,5,583
1,2022-04-30T21:21:35Z,5,583
1,2022-04-30T21:22:03Z,4,583
2,2022-05-27T16:21:05Z,5,343
2,2022-05-27T16:21:05Z,3,343
2,2022-05-27T16:21:21Z,3,343
2,2022-05-27T16:21:21Z,4,343
2,2022-05-27T16:21:24Z,3,343
2,2022-05-27T16:21:24Z,4,343
2,2022-05-27T16:21:26Z,5,343
2,2022-05-27T16:21:26Z,3,343
2,2022-05-27T16:21:28Z,3,343
2,2022-05-27T16:21:28Z,4,343
2,2022-05-27T16:21:32Z,3,343
2,2022-05-27T16:21:32Z,4,343
3,2022-03-02T19:43:25Z,5,43
3,2022-03-02T19:45:52Z,5,43
3,2022-03-02T19:50:57Z,5,43
3,2022-03-02T19:50:57Z,4,43
3,2022-03-02T19:51:02Z,5,43
3,2022-03-02T19:51:06Z,5,43
3,2022-03-02T19:51:06Z,4,43
3,2022-03-02T19:51:10Z,5,43
3,2022-03-02T19:51:13Z,5,43
4,2022-03-16T14:54:07Z,5,527
4,2022-03-16T14:54:07Z,4,527
5,2022-05-05T03:12:10Z,5,499
5,2022-05-05T03:12:10Z,4,499
5,2022-05-05T03:15:28Z,5,499
5,2022-05-05T03:17:19Z,5,499
5,2022-05-05T03:17:19Z,4,499
6,2022-04-28T14:26:10Z,3,464
6,2022-04-28T14:26:10Z,3,464
6,2022-04-28T14:26:28Z,3,464
6,2022-04-28T14:26:28Z,3,464
8,2022-04-27T02:47:53Z,5,274
8,2022-04-27T02:48:30Z,5,274
8,2022-04-27T02:48:30Z,5,274
8,2022-04-27T02:48:52Z,5,274
8,2022-04-27T02:49:46Z,5,274
8,2022-04-27T02:49:46Z,5,274
8,2022-04-27T02:49:49Z,5,274
8,2022-04-27T03:01:01Z,5,274
8,2022-04-27T03:01:01Z,4,274
8,2022-04-27T03:01:42Z,5,274
10,2022-03-03T18:37:14Z,3,251
10,2022-03-03T18:37:14Z,3,251
10,2022-03-03T18:39:25Z,3,251
10,2022-03-03T18:39:25Z,3,251
