sessionId,timestamp,itemId,category
6629,69,2022-03-02T11:02:42Z,6792,
6632,69,2022-03-02T11:02:46Z,5062,
6743,69,2022-03-02T11:53:06Z,3051,
6746,69,2022-03-02T11:53:06Z,3051,
6769,69,2022-03-02T11:54:08Z,8614,
6770,69,2022-03-02T11:54:12Z,5456,
6771,69,2022-03-02T11:54:12Z,9219,
6778,69,2022-03-02T11:54:22Z,5456,
6779,69,2022-03-02T11:54:22Z,5456,
6781,69,2022-03-02T11:54:29Z,5456,
6782,69,2022-03-02T11:54:29Z,5456,
6783,69,2022-03-02T11:54:33Z,5456,
6784,69,2022-03-02T11:54:33Z,5456,
6785,69,2022-03-02T11:54:34Z,9219,
6787,69,2022-03-02T11:54:43Z,5456,
6788,69,2022-03-02T11:54:43Z,5456,
6789,69,2022-03-02T11:54:46Z,1386,
6793,69,2022-03-02T11:55:11Z,5456,
6794,69,2022-03-02T11:55:11Z,5456,
6837,69,2022-03-02T11:57:40Z,4359,
6838,69,2022-03-02T11:57:40Z,4359,
7368,75,2022-03-02T14:24:54Z,6167,
7369,75,2022-03-02T14:24:54Z,6167,
7699,85,2022-03-02T16:02:58Z,4500,
7702,85,2022-03-02T16:02:58Z,4500,
7705,85,2022-03-02T16:03:16Z,4717,
7749,86,2022-03-02T16:05:42Z,3428,
7750,86,2022-03-02T16:05:42Z,3428,
7798,86,2022-03-02T16:09:46Z,3091,
7978,89,2022-03-02T16:49:55Z,3250,
8256,93,2022-03-02T17:15:59Z,6687,
8374,93,2022-03-02T17:25:54Z,3320,
8377,93,2022-03-02T17:25:54Z,3320,
8404,93,2022-03-02T17:29:15Z,8300,
8405,93,2022-03-02T17:29:15Z,8300,
8453,93,2022-03-02T17:39:27Z,4433,
8454,93,2022-03-02T17:39:27Z,4433,
8458,93,2022-03-02T17:44:58Z,5148,
8488,93,2022-03-02T17:47:06Z,2866,
8489,93,2022-03-02T17:47:06Z,2866,
8493,93,2022-03-02T17:47:36Z,8699,
8494,93,2022-03-02T17:48:18Z,8291,
8497,93,2022-03-02T17:48:47Z,7623,
8498,93,2022-03-02T17:48:48Z,7623,
8499,93,2022-03-02T17:48:53Z,1741,
8513,93,2022-03-02T17:49:43Z,1342,
8515,93,2022-03-02T17:49:43Z,1342,
8518,93,2022-03-02T17:50:31Z,1342,
8519,93,2022-03-02T17:50:53Z,1937,
8520,93,2022-03-02T17:50:57Z,1342,
8723,97,2022-03-02T18:28:26Z,2767,
8746,97,2022-03-02T18:28:50Z,799,
8870,99,2022-03-02T18:35:06Z,3267,
8878,99,2022-03-02T18:36:13Z,9333,
8879,99,2022-03-02T18:36:46Z,286,
9189,104,2022-03-02T19:26:37Z,8321,
9192,104,2022-03-02T19:27:02Z,2436,
9361,106,2022-03-02T19:41:28Z,6688,
9440,108,2022-03-02T19:43:25Z,7027,
9464,108,2022-03-02T19:43:53Z,8527,
9549,108,2022-03-02T19:45:52Z,7027,
9575,108,2022-03-02T19:47:44Z,7205,
9576,108,2022-03-02T19:47:44Z,7205,
9583,108,2022-03-02T19:48:31Z,548,
9589,108,2022-03-02T19:49:27Z,3743,
9595,108,2022-03-02T19:50:57Z,4448,
9597,108,2022-03-02T19:51:02Z,7027,
9599,108,2022-03-02T19:51:06Z,4383,
9602,108,2022-03-02T19:51:10Z,7027,
9605,108,2022-03-02T19:51:13Z,4990,
9608,108,2022-03-02T19:52:48Z,4888,
9609,108,2022-03-02T19:52:48Z,4888,
9610,108,2022-03-02T19:54:08Z,3743,
9611,108,2022-03-02T19:54:08Z,3743,
9612,108,2022-03-02T19:54:52Z,946,
9613,108,2022-03-02T19:54:53Z,946,
9614,108,2022-03-02T19:56:18Z,8073,
9615,108,2022-03-02T19:56:18Z,8073,
9616,108,2022-03-02T19:57:03Z,7205,
9617,108,2022-03-02T19:57:03Z,7205,
9673,109,2022-03-02T19:58:37Z,5436,
9674,109,2022-03-02T19:58:37Z,5436,
9683,109,2022-03-02T19:59:09Z,6357,
9718,109,2022-03-02T19:59:52Z,4166,
9720,109,2022-03-02T19:59:52Z,4166,
10232,115,2022-03-02T21:14:37Z,5305,
10239,115,2022-03-02T21:14:37Z,5305,
10351,118,2022-03-02T21:50:49Z,366,
10653,122,2022-03-02T23:24:37Z,871,
10654,122,2022-03-02T23:24:37Z,871,
10657,122,2022-03-02T23:25:25Z,4453,
10658,122,2022-03-02T23:25:42Z,9249,
10660,122,2022-03-02T23:26:04Z,1458,
10661,122,2022-03-02T23:26:07Z,6298,
10662,122,2022-03-02T23:26:11Z,8658,
10663,122,2022-03-02T23:26:15Z,4453,
10701,122,2022-03-02T23:33:20Z,8201,
10703,122,2022-03-02T23:33:20Z,8201,
11227,131,2022-03-03T02:21:29Z,3508,
11228,131,2022-03-03T02:21:29Z,3508,
11230,131,2022-03-03T02:21:50Z,7716,
11303,131,2022-03-03T02:24:05Z,3274,
11304,131,2022-03-03T02:24:05Z,3274,
11331,132,2022-03-03T02:24:38Z,7348,
11332,132,2022-03-03T02:24:38Z,7348,
11370,133,2022-03-03T02:25:14Z,9130,
11373,133,2022-03-03T02:25:27Z,8424,
11389,133,2022-03-03T02:26:08Z,9130,
11390,133,2022-03-03T02:26:10Z,7348,
11392,133,2022-03-03T02:26:13Z,4501,
11398,133,2022-03-03T02:26:13Z,4501,
11596,137,2022-03-03T02:41:54Z,8735,
11660,137,2022-03-03T02:44:43Z,9040,
11661,137,2022-03-03T02:44:43Z,9040,
11670,137,2022-03-03T02:45:04Z,5929,
11676,137,2022-03-03T02:45:12Z,8561,
12186,143,2022-03-03T06:06:13Z,607,
12187,143,2022-03-03T06:06:13Z,607,
12217,143,2022-03-03T06:09:08Z,7596,
12218,143,2022-03-03T06:09:08Z,7596,
12253,143,2022-03-03T11:23:59Z,518,
12254,143,2022-03-03T11:23:59Z,518,
12473,145,2022-03-03T13:43:08Z,6066,
12474,145,2022-03-03T13:43:08Z,6066,
12502,145,2022-03-03T13:45:54Z,3337,
12520,145,2022-03-03T13:46:31Z,3337,
12528,145,2022-03-03T13:46:40Z,3337,
12536,145,2022-03-03T13:47:29Z,4042,
12559,145,2022-03-03T13:50:02Z,2149,
12708,147,2022-03-03T14:49:06Z,1529,
12709,147,2022-03-03T14:49:06Z,1529,
12795,147,2022-03-03T15:45:17Z,7571,
12796,147,2022-03-03T15:45:17Z,7571,
12964,149,2022-03-03T15:48:35Z,3051,
12965,149,2022-03-03T15:48:35Z,3051,
13088,149,2022-03-03T15:54:21Z,2492,
13089,149,2022-03-03T15:54:21Z,2492,
13090,149,2022-03-03T15:55:29Z,876,
13091,149,2022-03-03T15:55:32Z,2341,
13094,149,2022-03-03T15:57:11Z,1823,
13095,149,2022-03-03T15:57:12Z,1823,
13096,149,2022-03-03T15:57:34Z,7360,
13097,149,2022-03-03T15:57:34Z,7360,
13101,149,2022-03-03T15:59:08Z,5062,
13102,149,2022-03-03T15:59:12Z,7360,
13103,149,2022-03-03T15:59:12Z,7360,
13105,149,2022-03-03T15:59:46Z,3881,
13115,149,2022-03-03T16:00:13Z,5062,
13116,149,2022-03-03T16:00:13Z,5062,
13117,149,2022-03-03T16:00:27Z,6792,
13118,149,2022-03-03T16:00:27Z,6792,
13119,149,2022-03-03T16:00:41Z,5062,
13120,149,2022-03-03T16:00:56Z,6792,
13121,149,2022-03-03T16:01:03Z,6792,
13122,149,2022-03-03T16:01:03Z,6792,
13154,151,2022-03-03T16:02:35Z,4633,
13155,151,2022-03-03T16:02:35Z,4633,
13157,151,2022-03-03T16:03:51Z,6397,
13158,151,2022-03-03T16:03:51Z,6397,
13170,151,2022-03-03T16:04:53Z,5784,
13171,151,2022-03-03T16:04:53Z,5784,
13411,153,2022-03-03T16:58:34Z,6935,
13412,153,2022-03-03T16:58:34Z,6935,
13417,153,2022-03-03T17:00:03Z,2607,
13418,153,2022-03-03T17:00:03Z,2607,
13423,153,2022-03-03T17:01:48Z,9496,
13424,153,2022-03-03T17:01:48Z,9496,
13425,153,2022-03-03T17:02:30Z,2199,
13426,153,2022-03-03T17:02:30Z,2199,
13761,157,2022-03-03T18:35:23Z,3085,
13762,157,2022-03-03T18:35:23Z,3085,
13765,157,2022-03-03T18:37:14Z,9388,
13766,157,2022-03-03T18:37:14Z,9388,
13769,157,2022-03-03T18:39:25Z,5154,
13770,157,2022-03-03T18:39:25Z,5154,
13774,157,2022-03-03T18:40:14Z,1560,
13775,157,2022-03-03T18:40:14Z,1560,
13779,157,2022-03-03T18:41:01Z,9516,
13780,157,2022-03-03T18:41:01Z,9516,
13781,157,2022-03-03T18:41:12Z,1759,
13782,157,2022-03-03T18:41:12Z,1759,
13786,157,2022-03-03T18:41:52Z,5848,
13787,157,2022-03-03T18:41:52Z,5848,
14203,166,2022-03-03T21:02:13Z,4679,
14692,174,2022-03-03T23:54:59Z,7777,
14693,174,2022-03-03T23:54:59Z,7777,
14711,174,2022-03-03T23:56:29Z,6428,
14713,174,2022-03-03T23:56:29Z,6428,
14773,174,2022-03-03T23:59:33Z,2750,
14774,174,2022-03-03T23:59:33Z,2750,
15073,175,2022-03-04T00:10:09Z,2226,
15074,175,2022-03-04T00:10:09Z,2226,
15093,175,2022-03-04T00:12:46Z,4280,
15094,175,2022-03-04T00:12:46Z,4280,
15097,175,2022-03-04T00:13:46Z,4512,
15469,180,2022-03-04T02:15:06Z,4141,
15470,180,2022-03-04T02:15:06Z,4141,
15475,180,2022-03-04T02:16:54Z,614,
15476,180,2022-03-04T02:16:59Z,2167,
15477,180,2022-03-04T02:17:03Z,4826,
15810,186,2022-03-04T07:16:14Z,858,
15812,186,2022-03-04T07:16:14Z,858,
15877,186,2022-03-04T07:17:54Z,9673,
15878,186,2022-03-04T07:17:54Z,9673,
15924,186,2022-03-04T07:23:23Z,2750,
15926,186,2022-03-04T07:23:23Z,2750,
15928,186,2022-03-04T07:25:18Z,730,
15929,186,2022-03-04T07:25:18Z,730,
16303,190,2022-03-04T13:32:20Z,6369,
16307,190,2022-03-04T13:32:20Z,6369,
16311,190,2022-03-04T13:33:20Z,6369,
16312,190,2022-03-04T13:33:20Z,6369,
16347,190,2022-03-04T13:39:26Z,9169,
16348,190,2022-03-04T13:39:26Z,9169,
16356,190,2022-03-04T13:41:04Z,3574,
16357,190,2022-03-04T13:41:04Z,3574,
16363,190,2022-03-04T13:41:54Z,689,
16364,190,2022-03-04T13:41:54Z,689,
16380,190,2022-03-04T13:47:12Z,494,
16381,190,2022-03-04T13:47:12Z,494,
16395,190,2022-03-04T14:01:30Z,494,
16397,190,2022-03-04T14:01:30Z,494,
16497,191,2022-03-04T14:09:15Z,494,
16498,191,2022-03-04T14:09:16Z,494,
16508,191,2022-03-04T14:10:08Z,4167,
16522,191,2022-03-04T14:10:52Z,4167,
16523,191,2022-03-04T14:10:52Z,4167,
16852,195,2022-03-04T15:44:05Z,1813,
16862,195,2022-03-04T15:44:16Z,1813,
16869,195,2022-03-04T15:44:44Z,355,
16870,195,2022-03-04T15:44:48Z,9100,
16872,196,2022-03-04T15:45:15Z,8996,
16873,196,2022-03-04T15:45:20Z,3027,
16874,196,2022-03-04T15:46:04Z,2740,
16886,196,2022-03-04T15:46:29Z,4479,
16898,197,2022-03-04T15:46:39Z,6545,
16899,197,2022-03-04T15:46:57Z,1827,
16900,197,2022-03-04T15:47:18Z,6021,
16901,197,2022-03-04T15:47:24Z,8883,
16902,197,2022-03-04T15:47:30Z,8138,
16903,197,2022-03-04T15:48:28Z,1629,
16904,197,2022-03-04T15:48:35Z,1845,
16905,197,2022-03-04T15:48:43Z,4377,
16913,198,2022-03-04T15:48:56Z,4652,
16924,198,2022-03-04T15:49:13Z,5786,
16926,198,2022-03-04T15:49:17Z,6150,
16927,198,2022-03-04T15:49:22Z,4291,
16932,199,2022-03-04T15:49:45Z,5455,
16945,199,2022-03-04T15:49:59Z,138,
16955,199,2022-03-04T15:50:11Z,9326,
17020,199,2022-03-04T15:51:29Z,5870,
17036,199,2022-03-04T15:52:39Z,2772,
17037,199,2022-03-04T15:52:39Z,2772,
17056,199,2022-03-04T15:53:16Z,7007,
17061,199,2022-03-04T15:53:35Z,6664,
17062,199,2022-03-04T15:53:48Z,8200,
17063,199,2022-03-04T15:53:55Z,9614,
17066,199,2022-03-04T15:54:04Z,7007,
17067,199,2022-03-04T15:54:17Z,1529,
17073,200,2022-03-04T15:54:23Z,7007,
17314,201,2022-03-04T16:32:59Z,5284,
17317,201,2022-03-04T16:32:59Z,5284,
17914,210,2022-03-04T20:29:06Z,5238,
17915,210,2022-03-04T20:29:06Z,5238,
17917,210,2022-03-04T20:30:28Z,827,
17918,210,2022-03-04T20:30:28Z,827,
17921,210,2022-03-04T20:30:51Z,2520,
17923,210,2022-03-04T20:30:51Z,2520,
18040,210,2022-03-04T20:33:54Z,2756,
18041,210,2022-03-04T20:33:54Z,2756,
18320,214,2022-03-04T22:04:56Z,1327,
18321,214,2022-03-04T22:04:56Z,1327,
18454,215,2022-03-04T22:15:25Z,8802,
18455,215,2022-03-04T22:15:25Z,8802,
18458,215,2022-03-04T22:15:49Z,4173,
18519,215,2022-03-04T22:19:00Z,5043,
18520,215,2022-03-04T22:19:00Z,5043,
18903,219,2022-03-04T23:43:41Z,9573,
18904,219,2022-03-04T23:43:41Z,9573,
18907,219,2022-03-04T23:44:48Z,3018,
18908,219,2022-03-04T23:45:47Z,9573,
19107,220,2022-03-05T01:03:52Z,9319,
19108,220,2022-03-05T01:03:52Z,9319,
19110,220,2022-03-05T01:04:59Z,4688,
19111,220,2022-03-05T01:05:15Z,9319,
19112,220,2022-03-05T01:05:30Z,821,
19113,220,2022-03-05T01:06:00Z,1675,
19131,222,2022-03-05T01:06:48Z,821,
19132,222,2022-03-05T01:06:53Z,9319,
19161,222,2022-03-05T01:08:46Z,9319,
19162,222,2022-03-05T01:08:46Z,9319,
19167,222,2022-03-05T01:10:30Z,6373,
19170,222,2022-03-05T01:12:02Z,8167,
19315,223,2022-03-05T02:45:44Z,5613,
19404,224,2022-03-05T03:07:07Z,68,
19405,224,2022-03-05T03:07:09Z,7773,
